Index,Quantity,Part Description,Link,Cost
1,10,"Kailh Switch Sockets + shipping",https://neomacro.in/products/kailh-mx-hotswap-socket?variant=49467139227926,2.34 USD
1,1,"PCB and 3D print + shipping",https://jlcpcb.com,16.94 USD
